year,lemma,repet
1970,artificial,1
1970,respiration,1
1970,curarized,1
1970,rat,1
1970,avoid,1
1970,involve,1
1970,tracheotomy,1
1970,success,1
1970,technique,1
1970,depend,1
1970,degree,1
1970,intellectual,1
1970,recovery,1
1970,post,1
1970,best,1
1970,predict,1
1970,age,1
1970,injury,1
1970,young,1
1971,find,2
1971,relate,1
1971,factor,1
1971,early,1
1971,history,1
1971,especially,1
1971,separation,1
1971,parental,1
1971,encouragement,1
1971,toughness,1
1971,live,1
1971,patient,1
1971,suffer,1
1971,severe,2
1971,emotional,1
1971,surgery,1
1971,distortion,1
1971,body,1
1971,particularly,1
1971,efficiency,1
1971,index,1
1971,finding,1
1971,explain,1
1971,basis,1
1971,head,1
1971,result,1
1971,broad,1
1971,measurable,1
1971,psychological,1
1971,aquarium,1
1971,apparatus,1
1971,allow,1
1971,ss,1
1971,transfer,1
1971,acquisition,1
1971,extinction,1
1971,food,1
1971,reinforce,1
1971,locomotor,1
1971,characterize,1
1971,survivor,1
1971,unimaginably,1
1971,extreme,1
1971,prolonged,1
1971,nazi,1
1971,concentration,1
1971,camp,1
1971,extent,1
1972,meaning,1
1972,symptom,1
1972,possible,1
1972,impact,1
1972,psychological,2
1972,discuss,1
1972,people,1
1972,experience,1
1972,overwhelming,1
1972,physical,1
1972,mental,1
1972,manifest,1
1972,aftereffect,1
1972,parent,1
1972,child,1
1972,control,1
1972,condition,1
1972,appear,1
1972,rule,1
1972,injection,1
1972,reason,1
1972,lauter,1
1972,failure,1
1972,observation,1
1972,equal,1
1972,real,1
1972,life,1
1972,situation,1
1972,considerable,1
1972,generate,1
1972,event,1
1972,demotion,1
1972,report,1
1972,second,1
1973,dosage,1
1973,level,1
1973,result,1
1973,effective,1
1973,modification,1
1973,effect,1
1973,delayed,1
1973,consequence,1
1973,methylphenidate,1
1973,administration,1
1974,somnambulism,1
1974,year,1
1974,old,1
1974,child,1
1974,undergo,1
1974,follow,1
1974,injury,1
1974,father,1
1974,israeli,1
1974,security,1
1974,anisocoria,2
1974,associate,1
1974,beri,2
1974,psychological,2
1974,common,1
1974,finding,1
1974,study,1
1974,deal,1
1974,amine,1
1974,hormone,1
1974,reason,1
1974,stress,1
1974,consequence,1
1974,forementioned,1
1974,sequence,1
1974,event,1
1974,understandable,1
1974,therapist,1
1974,identify,1
1974,patient,1
1974,earlier,1
1974,narcissistic,1
1974,help,1
1974,express,1
1974,normal,1
1974,conception,1
1974,type,1
1974,woman,1
1974,experience,1
1974,great,1
1974,degree,1
1974,psychic,1
1974,tend,1
1974,conservative,1
1974,attitude,1
1974,number,1
1974,catholic,1
1975,answer,1
1975,basic,1
1975,question,1
1975,regard,1
1975,resolution,1
1975,conversion,1
1975,stren,1
1975,growth,1
1975,potentiate,1
1975,experience,1
1975,selfhatred,1
1975,parentchild,1
1975,estrangement,1
1975,continue,1
1975,year,1
1975,extremity,1
1975,severity,1
1975,necessitate,1
1975,court,1
1975,intervention,1
1975,emotional,1
1975,associate,1
1975,mastectomy,1
1975,exceed,1
1975,physical,1
1975,account,1
1975,food,1
1975,water,1
1975,deprivation,1
1975,operative,1
1975,possibility,1
1975,gastric,1
1975,lesion,1
1975,contribute,1
1975,aphagia,1
1976,ascertain,1
1976,specify,1
1976,nature,1
1976,intensity,1
1976,emotional,1
1976,actual,1
1976,state,1
1976,anxiety,2
1976,emphasis,1
1976,lay,1
1976,bone,2
1976,theknee,1
1976,propensity,1
1976,suffer,1
1976,ski,1
1976,skier,1
1976,attempt,1
1976,different,1
1976,direction,1
1976,differ,1
1976,black,1
1976,predominantly,1
1976,non,1
1976,case,1
1976,majority,1
1976,neurophysiologically,1
1976,normal,1
1976,test,1
1976,know,1
1976,castration,1
1976,penis,2
1976,envy,2
1976,frustration,1
1976,oedipal,1
1976,conflict,1
1976,easy,1
1976,demonstrate,1
1976,type,1
1976,awareness,1
1976,genital,1
1976,difference,1
1976,narcissistic,1
1976,later,1
1976,phase,1
1976,usually,1
1976,dollar,1
1976,observation,1
1976,technique,1
1976,indicate,1
1976,nonspecific,1
1976,minimal,1
1976,allow,1
1976,assessment,1
1976,effect,1
1976,specific,1
1976,death,1
1976,cause,1
1976,brain,1
1976,damage,1
1976,physical,1
1977,sample,1
1977,n,1
1977,age,1
1977,particular,1
1977,stress,1
1977,resolve,1
1977,experience,1
1977,examine,1
1977,compare,1
1977,head,1
1977,physical,1
1977,injury,2
1977,slight,1
1977,turn,1
1977,starting,1
1977,early,2
1977,brain,1
1977,psychological,1
1977,home,1
1977,parent,1
1977,child,2
1977,control,1
1977,diagnose,1
1977,victim,1
1977,nonaccidental,1
1977,failure,1
1977,thrive,1
1977,depress,1
1977,bayley,1
1977,scale,1
1977,premorbid,1
1977,factor,1
1977,associate,1
1977,post,1
1977,adjustment,1
1977,difficulty,1
1977,investigation,1
1977,possible,1
1977,differential,1
1978,help,1
1978,wisely,1
1978,use,1
1978,minimize,1
1978,potential,1
1978,assumption,1
1978,biological,1
1978,factor,1
1978,malnutrition,1
1978,perinatal,1
1978,difficult,1
1978,socioeconomic,1
1978,condition,1
1978,interact,1
1978,slow,1
1978,tourette,1
1978,syndrome,1
1978,interesting,1
1978,connection,1
1978,birth,3
1978,rheumatic,1
1978,diathese,1
1978,pursue,1
1978,severe,1
1978,classify,1
1978,accord,1
1978,presence,1
1978,absence,1
1978,brain,1
1978,exogenous,1
1978,vs,1
1978,endogenous,1
1978,substantial,1
1978,discrimination,1
1978,people,1
1978,childhood,1
1978,experience,1
1978,find,1
1978,root,1
1978,the,1
1978,stage,1
1978,open,1
1978,therapeutic,1
1979,mental_disorder,1
1979,intervene,1
1979,construct,1
1979,life,1
1979,change,1
1979,use,1
1979,time,2
1979,series,1
1979,analysis,1
1979,16-month,1
1979,stren,1
1979,t,1
1979,s,1
1979,conversion,1
1979,procedure,1
1979,style,1
1979,communication,1
1979,result,1
1979,emotional,2
1979,physical,1
1979,abuse,1
1979,visual,1
1979,agnosia,1
1979,special,1
1979,interest,1
1979,causation,1
1979,unusually,1
1979,long,1
1979,follow,2
1979,year,2
1979,evidence,1
1979,regress,1
1979,age,2
1979,reactivate,1
1979,successfully,1
1979,repress,1
1979,act,1
1979,precipitate,1
1979,factor,1
1979,development,1
1979,traumatic,1
1979,death,1
1979,child,1
1979,react,1
1979,severely,1
1979,markedly,1
1979,hinder,1
1979,daily,1
1979,function,1
1979,addition,1
1979,individual,1
1979,experience,1
1979,survivor,1
1979,catastrophic,1
1979,stress,1
1979,situation,1
1979,postrelease,1
1979,thesis,1
1979,immediately,1
1979,release,1
1979,determine,1
1979,lie,1
1979,infantile,1
1979,primal,1
1979,scene,1
1979,exhibit,1
1979,disturbance,1
1979,secondary,1
1979,illness,1
1979,external,1
1979,event,2
